clean_address,crime_count,most_frequent_crime
BELLEVUE AV ,2,MURDER
BELLEVUE AV   ,45,AGGRAVATED ASSAULT
BELLEVUE AV     ,306,SIMPLE ASSAULT
BELLEVUE AV & COOLIDGE AV        ,1,AGGRAVATED ASSAULT
BELLEVUE AV & S GEDDES ST,1,ROBBERY
BELLEVUE AVE,27,SIMPLE ASSAULT
BELLEVUE AVE    ,101,SIMPLE ASSAULT
BELLEVUE AVE AT RIDER,1,SIMPLE ASSAULT
BELLEVUE AVE/HUDSON         ,1,AGGRAVATED ASSAULT
BELLEVUE TER,1,SIMPLE ASSAULT
BELLEVUE TER    ,2,CRIMINAL MISCHIEF
BELLEVVUE AV,1,FRAUD
BENEDICT,3,SIMPLE ASSAULT
BENEDICT AV   ,5,BURGLARY
BENEDICT AV     ,40,CRIMINAL MISCHIEF
BENEDICT AVE,2,POSSESSION/USE DANGEROUS WEAPONS
BENEDICT AVE    ,8,SIMPLE ASSAULT
BENEDICT ST     ,1,CRIMINAL MISCHIEF
BENNINGTON AV,2,CRIMINAL MISCHIEF
BENNINGTON DR,8,SIMPLE ASSAULT
BENNINGTON DR     ,20,CRIMINAL MISCHIEF
BERGER,7,POSSESSION/USE DANGEROUS WEAPONS
BERGER        ,1,CRIMINAL MISCHIEF
BERGER AV,17,SIMPLE ASSAULT
BERGER AV ,1,MV THEFT
BERGER AV   ,6,BURGLARY
BERGER AV     ,46,CRIMINAL MISCHIEF
BERGER AVE,3,SIMPLE ASSAULT
BERGER AVE    ,14,CRIMINAL MISCHIEF
BERGER ST     ,1,LARCENY
BERKELEY DR,7,BURGLARY
BERKELEY DR ,1,LARCENY
BERKELEY DR     ,9,LARCENY
BERKSHIRE AV,1,SIMPLE ASSAULT
BERKSHIRE AV     ,5,LARCENY
BERKSHIRE AVE    ,6,OFFN AGAINST FAMILY
BERNIE BLAKE DR     ,2,BURGLARY
BERTRAM PL,8,CRIMINAL MISCHIEF
BERTRAM PL   ,1,MV THEFT
BERTRAM PL     ,12,LARCENY
BERWICK RD     ,1,LARCENY
BERWYN,2,CRIMINAL MISCHIEF
BERWYN AV,5,SIMPLE ASSAULT
BERWYN AV   ,2,LARCENY
BERWYN AV     ,12,BURGLARY
BERWYN AVE,2,CRIMINAL MISCHIEF
BERWYN AVE ,1,MURDER
BERWYN AVE    ,10,SIMPLE ASSAULT
BEVERLY DR     ,1,CRIMINAL MISCHIEF
BEVERLY RD,2,BURGLARY
BEVERLY RD     ,6,BURGLARY
BISHOP,6,SIMPLE ASSAULT
BISHOP        ,3,SIMPLE ASSAULT
BISHOP AV,12,SIMPLE ASSAULT
BISHOP AV   ,3,AGGRAVATED ASSAULT
BISHOP AV     ,36,SIMPLE ASSAULT
BISHOP AVE,5,SIMPLE ASSAULT
BISHOP AVE  ,1,POSSESSION/USE DANGEROUS WEAPONS
BISHOP AVE    ,15,SIMPLE ASSAULT
BLAINE ST,8,AGGRAVATED ASSAULT
BLAINE ST     ,57,CRIMINAL MISCHIEF
BLK DICKERSON ST     ,1,OFFN AGAINST FAMILY
BLK OF CLEVELAND AV,1,CRIMINAL MISCHIEF
BLK PETERS ST     ,1,AGGRAVATED ASSAULT
BLOCK OF SALT SPRINGS RD     ,1,DRIVING UNDER INFLUENCE
BLOCK OF STERLING AV     ,1,POSSESSION/USE DANGEROUS WEAPONS
BLOSSOM RD,4,SIMPLE ASSAULT
BLOSSOM RD     ,14,LARCENY
BOISE DR,1,LARCENY
BOISE DR     ,4,BURGLARY
BOSTON ST,4,SIMPLE ASSAULT
BOSTON ST     ,19,SIMPLE ASSAULT
BOYDEN,1,FORGERY/COUNTERFEIT
BOYDEN PL,1,MV THEFT
BOYDEN PL     ,3,CRIMINAL MISCHIEF
BOYDEN ST,26,CRIMINAL MISCHIEF
BOYDEN ST   ,4,MV THEFT
BOYDEN ST     ,87,SIMPLE ASSAULT
BOYDEN ST & WINTON ST        ,1,LARCENY
